nct_id,brief_title,official_title,study_type,phases,overall_status,start_date,completion_date,conditions,interventions,lead_sponsor,matched_queries,source_url
NCT05356052,Expanded Access for Patients With Pulmonary Hypertension Associated With Pulmonary Fibrosis,"Expanded Access: Pulsed, Inhaled Nitric Oxide (iNO) for the Treatment of Patients With Serious Disease or Conditions Associated With Pulmonary Hypertension",EXPANDED_ACCESS,,AVAILABLE,,,Pulmonary Fibrosis; Pulmonary Hypertension,COMBINATION_PRODUCT: INOpulse,Bellerophon,PF-ILD,https://clinicaltrials.gov/study/NCT05356052
NCT05382572,Pulmonary Fibrosis Foundation Community Registry,Pulmonary Fibrosis Foundation Community Registry,OBSERVATIONAL,,RECRUITING,2022-07-11,2027-07-01,Pulmonary Fibrosis; Interstitial Lung Disease; Lung Fibrosis; Idiopathic Pulmonary Fibrosis,,Pulmonary Fibrosis Foundation,PF-ILD,https://clinicaltrials.gov/study/NCT05382572
NCT05445817,Pulmonary Care and Research Collaborative Patient Registry,Pulmonary Care and Research Collaborative Patient Registry,OBSERVATIONAL,,UNKNOWN,2022-07,2024-03,Interstitial Lung Disease,,Pulmonary Care and Research Collaborative Limited,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""",https://clinicaltrials.gov/study/NCT05445817
NCT05450276,Patient-Reported Outcome Study of Project ECHO for ILD,Patient-Reported Outcome Study of Project ECHO for ILD,OBSERVATIONAL,,UNKNOWN,2022-07,2024-03,Interstitial Lung Disease,,Pulmonary Care and Research Collaborative Limited,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""",https://clinicaltrials.gov/study/NCT05450276
NCT05455437,Monitoring and Evaluation Study of Project ECHO for ILD,Monitoring and Evaluation Study of Project ECHO for ILD,OBSERVATIONAL,,UNKNOWN,2022-07,2024-03,Interstitial Lung Diseases,,Pulmonary Care and Research Collaborative Limited,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""",https://clinicaltrials.gov/study/NCT05455437
NCT05492994,A Study to Test Different Imaging Techniques in Patients With Different Types of Interstitial Lung Disease,Longitudinal Study Without an Investigational Medicinal Product in Patients With Progressive Fibrosing Interstitial Lung Disease (PF-ILD) to Evaluate Novel Imaging-based Biomarkers in Comparison With Lung Function for Use in Early Clinical Development,INTERVENTIONAL,NA,COMPLETED,2022-12-19,2026-06-17,"Lung Diseases, Interstitial",DIAGNOSTIC_TEST: Spirometry; DIAGNOSTIC_TEST: Diffusing Capacity of the Lung for Carbon Monoxide (DLCO); DIAGNOSTIC_TEST: Magnetic Resonance Imaging; DIAGNOSTIC_TEST: Chest Computer Tomography; DIAGNOSTIC_TEST: Blood biomarker analysis,Boehringer Ingelheim,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05492994
NCT05497284,To Assess the Efficacy of the Investigational Products Compared to Placebo in Participants With IPF,"A Participant- and Investigator-blinded, Randomized, Placebo-controlled, Multicenter, Platform Study to Investigate Efficacy, Safety, and Tolerability of Various Single Treatments in Participants With Idiopathic Pulmonary Fibrosis",INTERVENTIONAL,PHASE2,TERMINATED,2022-11-10,2024-09-26,Idiopathic Pulmonary Fibrosis,DRUG: LTP001; DRUG: Placebo; DRUG: Standard of Care (SoC),Novartis Pharmaceuticals,PF-ILD,https://clinicaltrials.gov/study/NCT05497284
NCT05503030,Correlation Between Changes in Lung Function and Changes in Cough and Dyspnoea in Nintedanib-treated Connective Tissue Disease Interstitial Lung Disease (CTD-ILD) Patients,"A Prospective, Observational Study on the Correlations Between Change in Lung Function and Change in Cough and Dyspnoea in Patients With Connective Tissue Disease-associated Progressive Fibrosing INTErstitial luNg diseaSE (CTD Associated PF-ILD) Treated With Nintedanib. The ""INTENSE"" Study",OBSERVATIONAL,,TERMINATED,2022-12-21,2026-05-13,"Lung Diseases, Interstitial",DRUG: Nintedanib,Boehringer Ingelheim,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT05503030
NCT05571059,Oral Ifetroban in Patients With Idiopathic Pulmonary Fibrosis (IPF),"A Randomized, Double-Blind, Placebo-Controlled Phase II Study to Determine the Safety and Efficacy of Oral Ifetroban in Patients With Idiopathic Pulmonary Fibrosis (IPF)",INTERVENTIONAL,PHASE2,RECRUITING,2024-01-31,2027-01,Idiopathic Pulmonary Fibrosis,DRUG: Ifetroban Sodium; DRUG: Placebo,Cumberland Pharmaceuticals,PF-ILD,https://clinicaltrials.gov/study/NCT05571059
NCT05596786,Evaluation of Efficacy and Safety of Rituximab in Patients With Progressive Interstitial Lung Disease (ILD) With Inflammatory Component: a Multicentre Double-blind Placebo-controlled Randomized Trial,Evaluation de l'efficacité et de la sécurité du Rituximab Chez Les Patients Avec Une Pneumopathie Interstitielle Diffuse Progressive Avec Composante Inflammatoire : Essai Clinique randomisé Multicentrique en Double Insu Contre Placebo,INTERVENTIONAL,PHASE3,UNKNOWN,2023-01-16,2026-07-16,Lung Diseases,DRUG: Rituximab; OTHER: Placebo,"University Hospital, Tours",PF-ILD,https://clinicaltrials.gov/study/NCT05596786
