nct_id,brief_title,official_title,study_type,phases,overall_status,start_date,completion_date,conditions,interventions,lead_sponsor,matched_queries,source_url
NCT07179380,Efficacy and Safety Study of Treprostinil Palmitil Inhalation Powder (TPIP) in Participants With Pulmonary Hypertension Associated With Interstitial Lung Disease (PH-ILD),"A Phase 3, Randomized, Double-blind, Placebo-controlled, Multicenter, Parallel Group Study to Evaluate the Efficacy and Safety of Treprostinil Palmitil Inhalation Powder in Participants With Pulmonary Hypertension Associated With Interstitial Lung Disease",INTERVENTIONAL,PHASE3,RECRUITING,2026-01-07,2028-12-30,Pulmonary Hypertension; Interstitial Lung Disease,DRUG: Treprostinil Palmitil Inhalation Powder; DRUG: Placebo,Insmed Incorporated,PF-ILD,https://clinicaltrials.gov/study/NCT07179380
NCT07181382,Efficacy and Safety of Seralutinib in Adult Subjects With Pulmonary Hypertension Associated With Interstitial Lung Disease (PH-ILD),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Oral Inhalation of Seralutinib for the Treatment of Pulmonary Hypertension Associated With Interstitial Lung Disease (PH-ILD) Followed by a Long-Term Extension Evaluating Safety and Efficacy",INTERVENTIONAL,PHASE3,SUSPENDED,2026-02,2028-12,Pulmonary Hypertension Associated With Interstitial Lung Disease,DRUG: Placebo; DRUG: Seralutinib; DEVICE: Generic Dry Powder Inhaler,"GB002, Inc.",PF-ILD,https://clinicaltrials.gov/study/NCT07181382
NCT07222592,MOBoxy: MoblO2 to Maintain Oxygenation,MOBoxy: MoblO2 to Maintain Oxygenation,INTERVENTIONAL,NA,NOT_YET_RECRUITING,2025-12,2026-08,COPD; Interstitial Lung Disease,DEVICE: MoblO2 control,National Jewish Health,PF-ILD,https://clinicaltrials.gov/study/NCT07222592
NCT07230288,Study of ABBV-142 to Assess Adverse Events and Change in Disease Activity in Adult Participants With Idiopathic Pulmonary Fibrosis,A Phase 2a Multicenter Platform Study of Investigational Products for the Treatment of Adult Subjects With Idiopathic Pulmonary Fibrosis,INTERVENTIONAL,PHASE2,RECRUITING,2026-01-23,2029-09,Idiopathic Pulmonary Fibrosis,DRUG: ABBV-142; DRUG: Placebo for ABBV-142,AbbVie,PF-ILD,https://clinicaltrials.gov/study/NCT07230288
NCT07234032,An Open-Label Extension Study of Treprostinil Palmitil Inhalation Powder (TPIP) in Participants With Pulmonary Hypertension Associated With Interstitial Lung Disease (PH-ILD),A Long-term Open-Label Extension Study of Treprostinil Palmitil Inhalation Powder for Treatment of Pulmonary Hypertension Associated With Interstitial Lung Disease,INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-06-05,2031-01-22,Pulmonary Hypertension; Interstitial Lung Disease,DRUG: Treprostinil Palmitil Inhalation Powder; DRUG: Placebo,Insmed Incorporated,PF-ILD,https://clinicaltrials.gov/study/NCT07234032
NCT07254338,Exploration of Metabolome in Patients With Interstitial Lung Disease and Pulmonary Hypertension With or Without Specific Pulmonary Hypertension Treatment,Blood and uRine Metabolomics Exploration for Assessing Thoracic Health After Treatment of Group 3 Pulmonary Hypertension,OBSERVATIONAL,,RECRUITING,2026-02-16,2029-08-16,Interstitial Lung Disease; Precapillar Pulmonary Hypertension,OTHER: Blood sampling for metabolomic profiling; OTHER: Urine sampling for metabolomic profiling,Hospices Civils de Lyon,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07254338
NCT07269262,SUPPORT-T in Patients With Progressive Pulmonary Fibrosis and Their Caregivers,"Feasibility and Acceptability of a Mobile Application ""SUPPORT-T"" to Increase Equitable Access to Palliative Care in Patients With Progressive Pulmonary Fibrosis (PPF) and Their Caregivers",INTERVENTIONAL,NA,RECRUITING,2026-01-13,2027-10-01,Progressive Pulmonary Fibrosis; Interstitial Lung Disease,OTHER: SUPPORT-T Educational Intervention,Medical University of South Carolina,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07269262
NCT07332117,A Pilot Study to Assess Body Mass Composition Measurement Using BIA and Muscle Ultrasound in IPF and PPF Patients on Anti-fibrotic Medications,A Pilot Study to Assess Body Mass Composition Measurement Using BIA and Muscle Ultrasound in IPF and PPF Patients on Anti-fibrotic Medications,OBSERVATIONAL,,RECRUITING,2025-09-09,2026-04,Idiopathic Pulmonary Fibrosis (IPF); Progressive Pulmonary Fibrosis,OTHER: No Interventions; OTHER: No intervention,Royal Brompton & Harefield NHS Foundation Trust,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07332117
NCT07373288,HOXB7 and Linked Tissue and Blood Biomarkers in the Lungs of Patients With Pulmonary Fibrosis,HOXB7 and Linked Tissue and Blood Biomarkers in the Lungs of Patients With Pulmonary Fibrosis,OBSERVATIONAL,,RECRUITING,2023-07-01,2030-07-01,"Fibrosis, Pulmonary",PROCEDURE: Biopsy,University of Modena and Reggio Emilia,PF-ILD,https://clinicaltrials.gov/study/NCT07373288
NCT07441408,Long-term Extension Study to Evaluate Safety and Tolerability of Admilparant in Participants With Pulmonary Fibrosis,"An Open-label, Multi-center, Long-term Extension Study to Evaluate the Long-term Safety and Tolerability of Admilparant in Participants With Pulmonary Fibrosis",INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-12-16,2030-03-30,Pulmonary Fibrosis,DRUG: BMS-986278,Bristol-Myers Squibb,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07441408
NCT07466420,Study on the Efficacy of Quercetin Intake in Patients With Fibrotic Interstitial Lung Diseases.,"Study on the Efficacy of Quercetin Intake in Patients With Idiopathic Pulmonary Fibrosis and Non-Idiopathic Pulmonary Fibrosis. A Two-arm, Prospective Randomized Controlled Clinical Trial.",INTERVENTIONAL,NA,RECRUITING,2026-01-26,2029-01-31,Fibrotic Interstitial Lungs Diseases; Idiopathic Pulmonary Fibrosis (IPF); Progressive Pulmonary Fibrosis,DIETARY_SUPPLEMENT: Quercetin (dietary supplement); DRUG: Usual treatment,Katerina M. Antoniou,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT07466420
NCT07486206,Optimizing the Follow-Up Journey in Interstitial Lung Disease: The OPTIMIZE-ILD-2 Trial,"OPTIMIZE-ILD-2: A Randomized, Pragmatic, Parallel-Group Trial Evaluating the Impact of an Optimized Coordinated Follow-Up Circuit on Time Burden in Patients With Interstitial Lung Disease",INTERVENTIONAL,NA,RECRUITING,2026-03-09,2028-03-01,Interstitial Lung Disease (ILD); Fibrotic Interstitial Lung Disease; Idiopathic Pulmonary Fibrosis (IPF); Progressive Pulmonary Fibrosis; Interstitial Lung Disease Due to Connective Tissue Disease (Disorder),OTHER: Standard ILD Follow-Up Pathway; OTHER: Optimized One-Day ILD Follow-Up Circuit,Hospital de Granollers,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07486206
NCT07503587,Evaluating the Efficacy and Safety of of HSK44459 in People With Progressive Pulmonary Fibrosis,"A Randomised, Double-blind, Placebo-controlled Parallel Group Phase III Clinical Study Evaluating the Efficacy and Safety of HSK44459 Tablets in Subjects With Progressive Pulmonary Fibrosis",INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-04-05,2029-03-01,Progressive Pulmonary Fibrosis,DRUG: HSK44459; DRUG: Placebo,"Haisco Pharmaceutical Group Co., Ltd.","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07503587
NCT07516951,A Study to Find an Efficacious and Safe Dose of CHF10067 (Zampilimab) in Participants With Idiopathic Pulmonary Fibrosis,"A Phase IIb, Multicentre, Randomised, Double Blind, Placebo Controlled, Three-arm Parallel-group Study to Evaluate the Efficacy, Safety, and Tolerability at Week 24 of 2 Doses of CHF10067 (Zampilimab),in Participants With Idiopathic Pulmonary Fibrosis",INTERVENTIONAL,PHASE2,RECRUITING,2026-07-08,2028-02-12,Idiopathic Pulmonary Fibrosis,DRUG: CHF10067; DRUG: CHF10067; OTHER: Placebo,Chiesi Farmaceutici S.p.A.,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT07516951
NCT07520110,Metformin to Attenuate Progressive Respiratory Decline in Idiopathic Pulmonary Fibrosis,Metformin to Attenuate Progressive Respiratory Decline in Idiopathic Pulmonary Fibrosis (MAVRIC),INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-08-01,2029-03-15,Idiopathic Pulmonary Fibrosis,DRUG: Metformin; DRUG: Matching Placebo,"University of Massachusetts, Worcester",PF-ILD,https://clinicaltrials.gov/study/NCT07520110
NCT07540988,FIBRONEER-ACT: A Study to Test Whether Nerandomilast Helps People With Fibrosing Interstitial Lung Disease at Risk for Disease Progression,"A Double-blind, Randomized, Placebo-controlled Trial Investigating the Efficacy and Safety of Nerandomilast Over at Least 52 Weeks in Patients With Fibrosing Interstitial Lung Disease at Risk for Disease Progression (FIBRONEER-ACT)",INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-08-28,2028-12-12,Interstitial Lung Diseases,DRUG: Nerandomilast; DRUG: Placebo matching nerandomilast,Boehringer Ingelheim,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07540988
NCT07541638,Early Recognition of Progressive Lung Fibrosis in Systemic Rheumatic Diseases,"Early Recognition of Progressive Lung Fibrosis in Systemic Rheumatic Diseases: a Characterization of the Pulmonary Environment Through Extracellular Vesicles, Advanced and Functional Imaging",INTERVENTIONAL,NA,RECRUITING,2024-11-07,2026-12-31,Connective Tissue Diseases; Interstitial Lung Disease,OTHER: No experimental intervention (medication or device),Fondazione Policlinico Universitario Agostino Gemelli IRCCS,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""",https://clinicaltrials.gov/study/NCT07541638
NCT07548216,Efficacy of Osteopathic Manipulative Techniques With Progressive Pulmonary Fibrosis Patients,Efficacy of Selected Osteopathic Manipulative Techniques as a Conjunctive Therapy for Patients With Progressive Pulmonary Fibrosis,INTERVENTIONAL,NA,NOT_YET_RECRUITING,2026-05,2027-10,Osteopathic Manipulative Treatment,OTHER: osteopathic manipulative techniques; OTHER: conventional chest physiotherapy,Beni-Suef University,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07548216
NCT07570888,"This is a Trial Designed to Evaluate the Combination of Nerandomilast With Mycophenolate Across a Wide Variety of Pulmonary Fibrosis Subtypes, With the Aim of Providing Clinicians With Assurance That This is an Appropriate Therapeutic Combination.",Nerandomilast Added to Mycophenolate for Treatment of Pulmonary Fibrosis (NERAM-PF).,INTERVENTIONAL,PHASE4,NOT_YET_RECRUITING,2026-06,2027-07,Pulmonary Fibrosis; Interstitial Lung Disease (ILD),DRUG: Nerandomilast 18 mg - adult formulation,University of British Columbia,PF-ILD,https://clinicaltrials.gov/study/NCT07570888
NCT07572383,Advanced Imaging to Assess the Effect of Immunosuppression on Progressive Fibrosis,Advanced Imaging to Assess the Effect of Immunosuppression on Progressive Lung Fibrosis in Participants With Non-Idiopathic Pulmonary Fibrosis Interstitial Lung Disease,INTERVENTIONAL,PHASE2,RECRUITING,2026-05-14,2028-12-31,Interstitial Lung Disease; Pulmonary Fibrosis,DRUG: [68Ga]CBP8; DRUG: Gadoterate Meglumine,Peter Caravan,"""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""",https://clinicaltrials.gov/study/NCT07572383
NCT07577115,Occupational and Environmental Exposures Analysis in Interstitial Lung Diseases.,Occupational and Environmental Exposures Analysis in Interstitial Lung Diseases: a Prospective Observational Study.,OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,2026-04-01,2034-12,"Interstitial Lung Disease Due to Systemic Disease (Disorder); Interstitial Lung Disease Due to Systemic Disease (Telomere Biology Disorder); Exposure Occupational; Occupational Exposure; Exposure to Household Air Pollution; Exposure to Chemical Pollution, Occupational; Exposure to Environmental Pollution; Idiopathic Pulmonary Fibrosis (IPF); Progressive Pulmonary Fibrosis; Hypersensitivity Pneumonitis; ILD Progression and Exposure to Indoor Environnemental Risk; ILD Progression and Exposure to Outdoor Polluants; ILD",OTHER: standard interview,Istituto Clinico Humanitas,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07577115
NCT07580053,Hereditary Influences on Pulmonary Fibrosis Trajectories,"An Observational, Prospective, Multicenter Study on Hereditary Influences on Pulmonary Fibrosis Trajectories",OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,2026-04-01,2034-12,Interstitial Lung Disease Due to Systemic Disease (Telomere Biology Disorder); Idiopathic Pulmonary Fibrosis (IPF); Telomere Disease; Progressive Pulmonary Fibrosis; Familial Pulmonary Fibrosis,,Istituto Clinico Humanitas,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07580053
NCT07583589,Nintedanib With or Without Dextromethorphan in Patients With Idiopathic Pulmonary Fibrosis (IPF),"A Multicenter, Randomized, Double Blind, Placebo-controlled Clinical Study to Evaluate the Treatment of Nidanib With or Without Dextromethorphan in Idiopathic Pulmonary Fibrosis (IPF) Patients.",INTERVENTIONAL,PHASE2,NOT_YET_RECRUITING,2026-05-12,2027-06-01,Idiopathic Pulmonary Fibrosis (IPF),"DRUG: Nintedanib,Dextromethorphan; DRUG: Nintedanib,Placebo",First Affiliated Hospital of Wenzhou Medical University,PF-ILD,https://clinicaltrials.gov/study/NCT07583589
NCT07600021,A Phase II Study to Evaluate the Efficacy and Safety of SYH2059 Tablets in Adult Patients With Idiopathic Pulmonary Fibrosis,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Study to Evaluate the Efficacy and Safety of SYH2059 Tablets in Adult Patients With Idiopathic Pulmonary Fibrosis.",INTERVENTIONAL,PHASE2,NOT_YET_RECRUITING,2026-06-30,2027-12-30,Idiopathic Pulmonary Fibrosis,DRUG: SYH2059 Tablets; DRUG: Placebo,InnovStone Therapeutics Limited,PF-ILD,https://clinicaltrials.gov/study/NCT07600021
NCT07673237,Remote Evaluation and Surveillance of Patients With Interstitial Lung Disease: Transforming ILD Care Delivery With Remote Monitoring,Remote Evaluation and Surveillance of Patients With Interstitial Lung Disease: Transforming ILD Care Delivery With Remote Monitoring,INTERVENTIONAL,NA,NOT_YET_RECRUITING,2026-08-01,2028-08-01,Fibrotic Interstitial Lung Disease; IPF and PPF; Lung Fibrosis Interstitial,BEHAVIORAL: Home Monitoring in Patients with f-ILD,"University of California, San Francisco","""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07673237
NCT07683728,"A Prospective, Multi-Center Registry Study of Progressive Pulmonary Fibrosis (PPF) in China (PROFINA)","A Prospective, Multi-Center Registry Study of Progressive Pulmonary Fibrosis (PPF) in China (PROFINA)",OBSERVATIONAL,,RECRUITING,2025-09-23,2029-10-31,Progressive Pulmonary Fibrosis,,Zuojun Xu,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07683728
NCT07687459,Study Evaluation Rentosertib (INS018_055) Administered Orally in Patients With Idiopathic Pulmonary Fibrosis (IPF),"A Prospective Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group Study Evaluating the Efficacy and Safety of Rentosertib (INS018_055) Administered Orally Over 52 Weeks in Patients With Idiopathic Pulmonary Fibrosis (IPF)",INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-08-30,2029-10-30,Idiopathic Pulmonary Fibrosis,DRUG: INS018_055 tablets; DRUG: Placebo,InSilico Medicine Hong Kong Limited,PF-ILD,https://clinicaltrials.gov/study/NCT07687459
NCT07704567,MoblO2 to Maintain Oxygenation,MOBoxy: MoblO2 to Maintain Oxygenation,INTERVENTIONAL,NA,RECRUITING,2026-07-09,2027-08-01,COPD (Chronic Obstructive Pulmonary Disease); Intersitital Lung Disease,OTHER: MoblO2 controls O2 flow; OTHER: MoblO2 does not control flow,Minnesota HealthSolutions,PF-ILD,https://clinicaltrials.gov/study/NCT07704567
NCT07719023,A Phase 3 Study of Efficacy and Safety of AK3280 in Patients With Idiopathic Pulmonary Fibrosis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled and Open-Label Active-Controlled Phase III Clinical Study to Evaluate the Efficacy and Safety of AK3280 in Patients With Idiopathic Pulmonary Fibrosis (IPF)",INTERVENTIONAL,PHASE3,NOT_YET_RECRUITING,2026-08-31,2029-03-31,Idiopathic Pulmonary Fibrosis (IPF),DRUG: AK3280; DRUG: Placebo; DRUG: Pirfenidone,"Shanghai Ark Biopharmaceutical Co., Ltd.","""progressive fibrosing interstitial lung disease""; ""progressive-fibrosing interstitial lung disease""; PF-ILD",https://clinicaltrials.gov/study/NCT07719023
NCT07722507,Antifibrotic Therapy Decision-Making in Pulmonary Fibrosis,Understanding Pulmonary Fibrosis Through Web-Based Qualitative In-Depth Interviews on Antifibrotic TheRapy Decision-Making,OBSERVATIONAL,,NOT_YET_RECRUITING,2026-08-01,2027-05-31,Pulmonary Fibrosis; Idiopathic Pulmonary Fibrosis; Progressive Pulmonary Fibrosis,DRUG: Antifibrotic therapy,Bristol-Myers Squibb,"""progressive pulmonary fibrosis""; PF-ILD",https://clinicaltrials.gov/study/NCT07722507
NCT07723872,Finger Versus Earlobe Pulse Oximetry During the 6-Minute Walk Test in Interstitial Lung Disease,"A Prospective, Multicenter, Observational Method-Comparison Study of Finger Versus Earlobe Pulse Oximetry for Oxygen Saturation During the Six-Minute Walk Test in Patients With Interstitial Lung Disease (OXISITE-ILD)",OBSERVATIONAL,,RECRUITING,2026-01-13,2027-12-31,Interstitial Lung Disease (ILD); Idiopathic Pulmonary Fibrosis (IPF); Progressive Pulmonary Fibrosis; Connective Tissue Disease-Associated Interstitial Lung Disease; Interstitial Lung Disease Due to Connective Tissue Disease (Disorder),OTHER: Dual-site pulse oximetry (finger and earlobe),Hospital de Granollers,"""progressive pulmonary fibrosis""",https://clinicaltrials.gov/study/NCT07723872
